SIZE INTERVAL       0
    WAVl        QEXT      W0      gf
       2.3400000   6.6359279e-05    0.0057515502   0.00039355901
       2.5700000   0.00023528114   0.00086035657   0.00032128419
       2.7900000     0.010732265   7.0107053e-06   0.00025959974
       3.0800000     0.015571299   2.3799097e-05   0.00024305792
       3.4100000    0.0012192457   0.00013919144   0.00019627692
       3.7900000   0.00021775996   0.00039527507   0.00015507628
       4.0900000   0.00033165158   0.00017263396   0.00013200877
       4.3600000   0.00054731741   7.5952757e-05   0.00011556554
SIZE INTERVAL       7
    WAVl        QEXT      W0      gf
      0.25630000    0.0072762886      0.99999871     0.041246183
      0.27950000    0.0048730343      0.99999879     0.034547696
      0.29650000    0.0037299175      0.99999890     0.030634134
      0.31860000    0.0027077760      0.99999896     0.026474304
      0.33550000    0.0021563603      0.99999889     0.023842014
      0.36500000    0.0014943373      0.99999887     0.020106305
      0.42000000   0.00081847953      0.99999899     0.015147306
      0.49500000   0.00040858279      0.99999895     0.010879978
      0.54480000   0.00027335713      0.99999580    0.0089715844
      0.55810000   0.00024714507      0.99999443    0.0085467779
      0.58580000   0.00020190894      0.99998746    0.0077535222
      0.61500000   0.00016488061      0.99996411    0.0070311564
      0.64590000   0.00013447556      0.99994924    0.0063713461
      0.67900000   0.00010932227      0.99991675    0.0057626594
      0.72100000   8.5345807e-05      0.99965204    0.0051083140
      0.76800000   6.5838178e-05      0.99916519    0.0045000948
      0.81300000   5.2107347e-05      0.99909089    0.0040141219
      0.86700000   4.0098783e-05      0.99715715    0.0035281396
      0.92600000   3.0862328e-05      0.98900217    0.0030915077
       1.0000000   2.3088250e-05      0.96443489    0.0026494902
       1.0500000   1.8595483e-05      0.98010599    0.0024023177
       1.1000000   1.5483598e-05      0.97215229    0.0021880910
       1.1700000   1.4307057e-05      0.81601823    0.0019330945
       1.2500000   1.1295873e-05      0.78653346    0.0016925343
       1.3700000   1.7330192e-05      0.35028571    0.0014075581
       1.5000000   4.5317623e-05     0.091882899    0.0011729223
       1.6300000   1.6560159e-05      0.17689403   0.00099189038
       1.7700000   1.9502360e-05      0.10523717   0.00083957783
       1.9400000   0.00027432984    0.0050031004   0.00069709660
       2.1100000   5.8602224e-05     0.015989461   0.00058740668
       2.3400000   7.2974273e-05    0.0075876699   0.00047403665
       2.5700000   0.00025831864    0.0011368424   0.00038698490
       2.7900000     0.011779213   9.2665003e-06   0.00031269029
       3.0800000     0.017091839   3.1456886e-05   0.00029275877
       3.4100000    0.0013383093   0.00018397650   0.00023641320
       3.7900000   0.00023903793   0.00052242323   0.00018678834
       4.0900000   0.00036402753   0.00022818413   0.00015900399
       4.3600000   0.00060072307   0.00010039679   0.00013919834
SIZE INTERVAL       8
