COMPLETE SPECTRUM OF HD22049.
Uncertainties below are 1sigma from the IUE rereductions,
and are adopted as 5% of F(lambda) for Burnashev and Kurucz
spectra.  Apologies if these are not your favorite units
but last go around I was asked to use W/cm2/nm instead of
my preferred W/cm2/um.  1 W/m2/nm = 100 erg/cm2/s/A.

Wavelen  F(lambda)  UncF(lam)
  um     W/m2/nm    W/m2/nm
0.18245  4.19e-016  4.22e-018
0.18261  3.85e-016  4.06e-018
0.18278  3.71e-016  4.03e-018
0.18295  3.45e-016  3.92e-018
0.18312  3.28e-016  3.84e-018
0.18328  3.30e-016  3.82e-018
0.18345  3.21e-016  3.79e-018
0.18362  3.21e-016  3.80e-018
0.18379  3.21e-016  3.79e-018
0.18395  3.29e-016  3.79e-018
0.18412  3.39e-016  3.86e-018
0.18429  3.42e-016  3.86e-018
0.18446  3.57e-016  3.86e-018
0.18463  3.64e-016  3.88e-018
0.18479  3.64e-016  3.88e-018
0.18496  3.71e-016  3.87e-018
0.18513  3.94e-016  3.97e-018
0.18530  4.32e-016  4.09e-018
0.18546  4.39e-016  4.08e-018
0.18563  4.28e-016  4.04e-018
0.18580  4.20e-016  4.03e-018
0.18597  4.26e-016  4.04e-018
0.18613  4.29e-016  4.08e-018
0.18630  4.19e-016  4.01e-018
0.18647  3.94e-016  3.90e-018
0.18664  3.83e-016  3.89e-018
0.18680  3.81e-016  3.89e-018
0.18697  3.91e-016  3.92e-018
0.18714  4.07e-016  3.96e-018
0.18731  4.25e-016  4.05e-018
0.18748  4.36e-016  4.05e-018
0.18764  4.36e-016  4.04e-018
0.18781  4.19e-016  3.98e-018
0.18798  4.11e-016  3.94e-018
0.18815  4.11e-016  3.95e-018
0.18831  4.28e-016  4.00e-018
0.18848  4.44e-016  4.00e-018
0.18865  4.65e-016  4.06e-018
0.18882  4.97e-016  4.16e-018
0.18898  5.52e-016  4.32e-018
0.18915  6.02e-016  4.48e-018
0.18932  6.16e-016  4.54e-018
0.18949  5.88e-016  4.41e-018
0.18966  5.55e-016  4.33e-018
0.18982  5.54e-016  4.34e-018
0.18999  5.86e-016  4.39e-018
0.19016  6.15e-016  4.46e-018
0.19033  5.92e-016  4.42e-018
0.19049  5.39e-016  4.27e-018
0.19066  5.11e-016  4.19e-018
0.19083  4.88e-016  4.16e-018
0.19100  4.86e-016  4.12e-018
0.19116  4.95e-016  4.16e-018
0.19133  4.97e-016  4.14e-018
0.19150  5.18e-016  4.19e-018
0.19167  5.35e-016  4.25e-018
0.19183  5.32e-016  4.34e-018
0.19200  5.12e-016  4.23e-018
0.19217  5.12e-016  4.36e-018
0.19234  5.27e-016  4.48e-018
0.19251  5.45e-016  4.52e-018
0.19267  5.63e-016  4.45e-018
0.19284  5.87e-016  4.40e-018
0.19301  5.90e-016  4.30e-018
0.19317  5.76e-016  4.23e-018
0.19334  5.45e-016  4.14e-018
0.19351  5.34e-016  4.11e-018
0.19368  5.26e-016  4.07e-018
0.19385  5.21e-016  4.03e-018
0.19401  5.31e-016  4.04e-018
0.19418  5.45e-016  4.06e-018
0.19435  5.68e-016  4.11e-018
0.19452  5.81e-016  4.10e-018
0.19468  5.87e-016  4.10e-018
0.19485  5.93e-016  4.10e-018
0.19502  5.89e-016  4.09e-018
0.19519  5.90e-016  4.10e-018
0.19535  5.98e-016  4.11e-018
0.19552  5.96e-016  4.10e-018
0.19569  5.97e-016  4.10e-018
0.19586  5.96e-016  4.07e-018
0.19602  6.03e-016  4.06e-018
0.19619  6.18e-016  4.05e-018
0.19636  6.28e-016  4.09e-018
0.19653  6.49e-016  4.14e-018
0.19670  6.66e-016  4.18e-018
0.19686  6.65e-016  4.20e-018
0.19703  6.80e-016  4.20e-018
0.19720  6.80e-016  4.22e-018
0.19737  6.74e-016  4.22e-018
0.19753  6.76e-016  4.21e-018
0.19770  6.91e-016  4.26e-018
0.19787  7.03e-016  4.30e-018
0.19816  4.23e-016  5.58e-016
0.19843  3.12e-016  5.39e-016
0.19870  8.80e-016  5.50e-016
0.19896  9.90e-016  5.39e-016
0.19923  7.75e-016  5.24e-016
0.19950  6.38e-016  5.08e-016
0.19976  6.71e-016  4.89e-016
0.20003  8.92e-017  4.68e-016
0.20029  2.66e-016  4.64e-016
0.20056  7.35e-016  4.60e-016
0.20083  4.71e-016  4.44e-016
0.20109  1.07e-015  4.69e-016
0.20136  1.01e-015  4.60e-016
0.20163  1.55e-015  4.46e-016
0.20189  3.85e-016  4.07e-016
0.20216  6.79e-016  4.37e-016
0.20242  6.04e-016  4.32e-016
0.20269  8.08e-016  4.23e-016
0.20296  6.26e-016  4.14e-016
0.20322  7.90e-016  4.17e-016
0.20349  8.27e-016  4.15e-016
0.20376  4.75e-016  3.97e-016
0.20402  7.36e-016  4.09e-016
0.20429  7.93e-016  4.07e-016
0.20456  9.41e-016  4.13e-016
0.20482  1.14e-015  4.15e-016
0.20509  7.19e-016  3.87e-016
0.20535  8.78e-016  3.87e-016
0.20562  8.37e-016  3.80e-016
0.20589  6.64e-016  3.69e-016
0.20615  8.63e-016  3.72e-016
0.20642  1.13e-015  3.75e-016
0.20669  9.14e-016  3.70e-016
0.20695  9.29e-016  3.64e-016
0.20722  1.18e-015  3.62e-016
0.20749  1.15e-015  3.57e-016
0.20775  8.17e-016  3.40e-016
0.20802  1.27e-015  3.52e-016
0.20828  9.34e-016  3.37e-016
0.20855  9.13e-016  3.39e-016
0.20882  1.45e-015  3.54e-016
0.20908  1.73e-015  3.53e-016
0.20935  9.08e-016  3.23e-016
0.20961  1.48e-015  3.45e-016
0.20988  1.97e-015  3.62e-016
0.21020  1.60e-015  2.91e-016
0.21040  1.74e-015  2.85e-016
0.21070  1.47e-015  2.80e-016
0.21100  1.77e-015  2.82e-016
0.21120  1.60e-015  2.84e-016
0.21150  1.68e-015  2.86e-016
0.21170  1.39e-015  2.76e-016
0.21200  1.74e-015  2.75e-016
0.21230  2.55e-015  2.89e-016
0.21250  1.83e-015  2.69e-016
0.21280  1.55e-015  2.63e-016
0.21310  2.00e-015  2.70e-016
0.21330  1.76e-015  2.67e-016
0.21360  1.70e-015  2.58e-016
0.21390  2.32e-015  2.68e-016
0.21410  2.27e-015  2.66e-016
0.21440  2.12e-015  2.62e-016
0.21470  2.75e-015  2.64e-016
0.21490  2.29e-015  2.54e-016
0.21520  1.45e-015  2.48e-016
0.21550  1.93e-015  2.57e-016
0.21570  2.41e-015  2.55e-016
0.21600  2.00e-015  2.41e-016
0.21630  2.79e-015  2.49e-016
0.21650  2.00e-015  2.41e-016
0.21680  1.80e-015  2.39e-016
0.21710  2.30e-015  2.44e-016
0.21730  2.26e-015  2.44e-016
0.21760  1.91e-015  2.35e-016
0.21790  2.31e-015  2.43e-016
0.21810  2.36e-015  2.40e-016
0.21840  2.40e-015  2.39e-016
0.21870  2.32e-015  2.35e-016
0.21890  2.70e-015  2.33e-016
0.21920  2.58e-015  2.31e-016
0.21950  2.90e-015  2.37e-016
0.21970  2.55e-015  2.34e-016
0.22000  2.45e-015  2.29e-016
0.22030  2.79e-015  2.26e-016
0.22050  3.40e-015  2.37e-016
0.22080  2.90e-015  2.27e-016
0.22110  3.50e-015  2.38e-016
0.22130  3.08e-015  2.29e-016
0.22160  3.08e-015  2.28e-016
0.22190  3.72e-015  2.34e-016
0.22210  2.85e-015  2.13e-016
0.22240  3.61e-015  2.26e-016
0.22270  3.94e-015  2.37e-016
0.22290  3.91e-015  2.32e-016
0.22320  3.64e-015  2.36e-016
0.22350  3.36e-015  2.17e-016
0.22370  4.77e-015  2.42e-016
0.22400  3.93e-015  2.26e-016
0.22430  3.86e-015  2.20e-016
0.22450  4.71e-015  2.31e-016
0.22480  4.48e-015  2.23e-016
0.22510  5.20e-015  2.27e-016
0.22530  6.07e-015  2.35e-016
0.22560  5.67e-015  2.52e-016
0.22590  5.56e-015  2.26e-016
0.22610  4.41e-015  2.08e-016
0.22640  3.63e-015  1.97e-016
0.22670  4.35e-015  2.07e-016
0.22690  4.37e-015  2.14e-016
0.22720  4.59e-015  2.08e-016
0.22750  4.10e-015  1.95e-016
0.22770  3.94e-015  1.85e-016
0.22800  4.37e-015  1.85e-016
0.22820  5.24e-015  2.00e-016
0.22850  5.45e-015  2.24e-016
0.22880  4.88e-015  2.01e-016
0.22900  4.64e-015  1.92e-016
0.22930  4.84e-015  1.87e-016
0.22960  5.32e-015  1.91e-016
0.22980  4.94e-015  1.84e-016
0.23010  4.50e-015  1.75e-016
0.23040  4.67e-015  1.74e-016
0.23060  5.82e-015  2.19e-016
0.23090  5.04e-015  1.88e-016
0.23120  4.78e-015  2.05e-016
0.23150  4.28e-015  1.74e-016
0.23170  5.65e-015  1.85e-016
0.23200  5.73e-015  1.91e-016
0.23230  5.48e-015  1.78e-016
0.23250  6.00e-015  1.80e-016
0.23280  6.11e-015  1.87e-016
0.23310  7.00e-015  1.91e-016
0.23330  7.60e-015  1.99e-016
0.23360  8.16e-015  1.98e-016
0.23380  7.45e-015  1.95e-016
0.23410  7.09e-015  1.80e-016
0.23440  7.05e-015  1.72e-016
0.23460  7.85e-015  1.91e-016
